,Name,Birthday,Sign
0,Aileen Wuornos,29 February ,Pisces
1,Albert DeSalvo,03 September ,Virgo
2,Albert Fish,19 May ,Taurus
3,Alexander Pichushkin,09 April ,Aries
4,Anatoly Onoprienko,25 July ,Leo
5,Andrei Chikatilo,16 October ,Libra
6,Anthony Hardy,31 May ,Gemini
7,Arthur Shawcross,06 June ,Gemini
8,Beverley Allitt,04 October ,Libra
9,Carol M. Bundy,26 August ,Virgo
10,Catherine Birnie,23 May ,Gemini
11,Colin Ireland,16 March ,Pisces
12,Cynthia Coffman,19 January ,Capricorn
13,David Berkowitz,01 June ,Gemini
14,David Birnie,16 February ,Aquarius
15,David Copeland,15 May ,Taurus
16,David Ray Parker,06 November ,Scorpio
17,Dean Arnold Corll,24 December ,Capricorn
18,Dennis Nilsen,23 November ,Sagittarius
19,Dennis Rader,09 March ,Pisces
20,Derrick Bird,27 November ,Sagittarius
21,Donald Henry Gaskins,13 March ,Pisces
22,Donald Neilson,01 August ,Leo
23,Dorothea Puente,09 January ,Capricorn
24,Doug Clark,10 March ,Pisces
25,Ed Gein,27 August ,Virgo
26,Edmund Kemper,18 December ,Sagittarius
27,Faye Copeland,04 August ,Leo
28,Fred West,29 September ,Libra
29,Fritz Haarmann,25 October ,Scorpio
30,Gary Ridgway,18 February ,Aquarius
31,George Joseph Smith,11 January ,Capricorn
32,Glen Edward Rogers,15 July ,Cancer
33,Graham Young,07 September ,Virgo
34,H H Holmes,16 May ,Taurus
35,Harold Shipman,14 January ,Capricorn
36,Henri Desire Landru,12 April ,Aries
37,Henry Lee Lucas,23 August ,Virgo
38,Herbert Mullin,18 April ,Aries
39,Ian Brady,02 January ,Capricorn
40,Janie Lou Gibbs,25 December ,Capricorn
41,Javed Iqbal Mughal,08 October ,Libra
42,Jeffrey Dahmer,21 May ,Gemini
43,Jeremy Bamber,13 January ,Capricorn
44,Joel Rifkin,20 January ,Aquarius
45,John Allen Muhammad,31 December ,Capricorn
46,John Bodkin Adams,21 January ,Aquarius
47,John George Haigh,24 July ,Leo
48,John Reginald Christie,08 April ,Aries
49,John Straffen,27 February ,Pisces
50,John Wayne Gacy,17 March ,Pisces
51,Judy Buenoano,04 April ,Aries
52,Karla Homolka,04 May ,Taurus
53,Kenneth Bianchi,22 May ,Gemini
54,Kristen Gilbert,13 November ,Scorpio
55,Larry Eyler,21 December ,Sagittarius
56,Lee Boyd Malvo,18 February ,Aquarius
57,Levi Bellfield,17 May ,Taurus
58,Luis Alfredo Garavito,25 January ,Aquarius
59,Martha Beck,06 May ,Taurus
60,Michael Ryan,18 May ,Taurus
61,Moses Sithole,17 November ,Scorpio
62,Myra Hindley,23 July ,Leo
63,Orville Lynn Majors,24 April ,Taurus
64,Patrick MacKay,25 September ,Libra
65,Paul Bernardo,24 August ,Virgo
66,Peter Bryan,04 October ,Libra
67,Peter Kurten,26 May ,Gemini
68,Peter Manuel,13 March ,Pisces
69,Peter Sutcliffe,02 June ,Gemini
70,Peter Tobin,27 August ,Virgo
71,Randall Woodfield,26 December ,Capricorn
72,Ray Copeland,30 December ,Capricorn
73,Ray Fernandez,17 December ,Sagittarius
74,Raymond Morris,13 August ,Leo
75,Richard Chase,23 May ,Gemini
76,Richard Ramirez,29 February ,Pisces
77,Robert Pickton,24 October ,Scorpio
78,Robert Black,21 April ,Taurus
79,Robert Maudsley,26 June ,Cancer
80,Robert Napper,25 February ,Pisces
81,Rodney Alcala,23 August ,Virgo
82,Ronald Dominique,09 January ,Capricorn
83,Rose West,29 November ,Sagittarius
84,Stephen Griffiths,24 December ,Capricorn
85,Stephen Port,22 February ,Pisces
86,Steve Wright,24 April ,Taurus
87,Steven Grieveson,14 December ,Sagittarius
88,Ted Bundy,24 November ,Sagittarius
89,Ted Kaczynski,22 May ,Gemini
90,Trevor Hardy,11 June ,Gemini
91,Velma Barfield,29 October ,Scorpio
